#,Punktsymbolname,Liste der 'alten' Punktsymbole,Nr.,Offset(15*15),Offset (23*23),Offset (32*32),Index in Bitmap
1,Allgemeine Symbole,,,,,,
,Dreieck 1,"223,226",1,"2,2","1,1","0,0",1
,Dreieck 2,"224,227",2,"2,2","1,1","0,0",2
,Dreieck 3,,3,"2,2","1,1","0,0",3
,Dreieck 4,,4,"2,2","1,1","0,0",4
,Kreis 1,"13,84,209,222,225",5,"2,2","1,1","0,0",5
,Kreis 2,183,6,"2,2","1,1","0,0",6
,Kreuz 1,"6,7,85,185,235",7,"1,2","1,1","0,0",7
,Kreuz 2,"5,4,83",8,"1,1","1,1","0,0",8
,Viereck 1,"3,10,24,46,71,179,2,87,88,89,90,91,134,233,193,220",9,"2,2","1,1","0,0",9
,Viereck 2,,10,"2,2","1,1","0,0",10
,Viereck 3,105,11,"2,2","1,1","0,0",11
,Viereck 4,,12,"2,2","1,1","0,0",12
,Viereck 5,,13,"2,2","1,1","0,0",13
,Viereck 6,"12,77,86",14,"2,2","1,1","0,0",14
,Viereck 7,"8,9",15,"2,2","1,1","0,0",15
,Viereck 8,"26,184",16,"2,2","1,1","0,0",16
,Viereck 9,,17,"1,4","0,5","0,7",17
,Stern 1,99,18,"2,2","1,1","1,1",80
,Stern 2,,19,"0,1","0,0","0,0",195
,Pfeil 1,216,20,"4,1","6,0","9,0",187
,Pfeil 2,,21,"4,1","6,0","9,0",85
,Pfeil 3,,22,"4,0","7,0","10,0",30
1,Topographie,,,,,,
2,,Ortschaften,,,,,
,Stadt < 2000 Ew,"51,1,23",23,"1,1","1,1","0,0",18
,Stadt <10000 Ew,"11,52",24,"1,1","1,1","0,0",19
,Stadt < 50000 Ew,54,25,"1,1","1,1","0,0",20
,Stadt < 100.000 Ew,53,26,"1,1","1,1","0,0",21
,Stadt < 500.000 Ew,55,27,"1,1","1,1","0,0",22
,Stadt < 1.000.000 Ew,,28,"1,1","1,1","0,0",23
,Stadt > 1.000.000 Ew,,29,"1,1","1,1","0,0",24
,Dorf < 200 Ew,20,30,"2,2","2,2","2,2",25
,Dorf < 500 Ew,21,31,"2,2","2,2","2,2",26
,Dorf < 1000 Ew,22,32,"2,2","2,2","2,2",27
,Dorf > 1000 Ew,,33,"2,2","2,2","2,2",28
2,,Wohn/Wirtschaftsflächen/Gebäude,,,,,
3,,,Industrie,,,,
4,,,,Chemische Industrie,,,
,Chemische Industrie,"123,124",34,"3,2","3,0","5,0",86
,Gummiindustrie,125,35,"2,2","1,1","0,0",87
,Petrolchemie/Pharmazeutische Ind.,"126,127",36,"3,2","3,0","5,0",88
4,,,,Metallver- und -bearbeitende Industrie,,,
,Metallbearbeitung/Metallurgie,"116,112,117",37,"2,1","3,1","3,0",97
,Stahl-/Walzwerk,122,38,"3,1","4,0","6,0",105
,Maschinen/Fahrzeug/Anlagenbau,115,39,"0,0","1,1","0,0",100
,Schienenfahrzeugbau,119,40,"1,1","1,1","0,0",103
,Straßenfahrzeugbau,114,41,"1,1","5,1","0,0",104
